Date,PC1,PC2,PC3
1960-02-29,-0.3596191140672896,0.10457468543465176,0.056817883673922924
1960-03-31,-0.3312662506915747,0.13433650641838515,0.03506779562259898
1960-04-30,-0.3217303184907504,0.1311273254795954,0.040957115487958676
1960-05-31,-0.3198998553068001,0.1277673280657523,0.04091624542511609
1960-06-30,-0.3190230544558033,0.12601815382609355,0.04225475087134477
1960-07-31,-0.31619824662342877,0.12745784697000775,0.04224274567148212
1960-08-31,-0.31704329514277785,0.12919194003742157,0.02694129273132798
1960-09-30,-0.3171152849459684,0.1299599135447635,0.025737470011058493
1960-10-31,-0.31441847914575016,0.14092096748075408,0.0235457187457084
1960-11-30,-0.31601361761407465,0.1428869305527159,0.014657600244354509
1960-12-31,-0.3130606176375293,0.15492497851066483,0.005037454371972149
1961-01-31,-0.27939845189011825,0.13836002951218682,0.009738107841523916
1961-02-28,-0.28036338408368877,0.13684616163159166,0.013880007146947895
1961-03-31,-0.2825171210329209,0.13745846415468904,0.013664825548242608
1961-04-30,-0.2858717745615918,0.13594528646101428,0.016934190850130596
1961-05-31,-0.2860141193079386,0.13773589952473386,0.01841856090812884
1961-06-30,-0.2872563349240925,0.1531973368578434,0.007311083146285808
1961-07-31,-0.2897443199031034,0.15702912233276245,0.002536380033625847
1961-08-31,-0.2907714369100274,0.15641409262684855,0.0069964167568995345
1961-09-30,-0.2935013133070044,0.15454740357405644,0.008401531748008402
1961-10-31,-0.2956591230111507,0.15083095360610552,0.009176051991231454
1961-11-30,-0.2976647701028869,0.14973237643629447,0.008083143558214614
1961-12-31,-0.29566997728129996,0.15435723069266274,0.005822277376879208
1962-01-31,-0.2642543650766661,0.15690437679056685,0.02815348922059246
1962-02-28,-0.2681793635343851,0.1558193269864332,0.030172313987316814
1962-03-31,-0.2705645322141567,0.15549060463807948,0.029614651042754445
1962-04-30,-0.2746207805011332,0.15282221558229542,0.030938497975762258
1962-05-31,-0.276675953652148,0.15094857083538807,0.03108386844993015
1962-06-30,-0.27974339574526574,0.14841839819899294,0.030863159239720238
1962-07-31,-0.2829068364956561,0.14723463386910152,0.03170231506301189
1962-08-31,-0.2859003626764959,0.14462670714577455,0.03342215892776856
1962-09-30,-0.2869683322273872,0.14283201152995922,0.03454490719562024
1962-10-31,-0.28693896301761573,0.14229058477476206,0.03608809120893594
1962-11-30,-0.2887050538185462,0.14980146269214692,0.02152474732706268
1962-12-31,-0.28906710866951013,0.155710613381238,0.013305675311710409
1963-01-31,-0.2853114392393605,0.16036255623428405,0.014849657308640267
1963-02-28,-0.2883281335623739,0.15761322726619123,0.017180611765539328
1963-03-31,-0.29160276885742725,0.15478952627840653,0.019481559170222422
1963-04-30,-0.2909498471065676,0.15581824864889937,0.024673303483226182
1963-05-31,-0.2871443289290537,0.16570666616676996,0.030737671020723834
1963-06-30,-0.2839994512078136,0.16533635342239922,0.033753908982620956
1963-07-31,-0.2860480805202922,0.16818140807927678,0.03203455471975465
1963-08-31,-0.28739942584925715,0.17694136657285606,0.019255503619467314
1963-09-30,-0.28988968667018716,0.17459105038769465,0.020541946747940673
1963-10-31,-0.2871336418314941,0.18028293914074542,0.022663790074699805
1963-11-30,-0.290544099494632,0.17641349440478007,0.020955813462731166
1963-12-31,-0.2895642903873815,0.1754078754486457,0.021835421055303
1964-01-31,-0.20308767116755708,0.18981614057255708,-0.00444941547881357
1964-02-29,-0.2068934573732972,0.18906552219287817,-0.00023084408677134926
1964-03-31,-0.21217232926192162,0.18654390408076943,0.0025293216917904957
1964-04-30,-0.21833723067747993,0.18392438878727646,-0.001414638143976415
1964-05-31,-0.2226799536830136,0.18186341675127865,0.002345166344714739
1964-06-30,-0.2264910540923008,0.1812263725001215,0.0051099281689370125
1964-07-31,-0.23279002704277726,0.17833279321081008,0.00039674688745672417
1964-08-31,-0.23608113782404683,0.1748884074134567,0.0032391442608239603
1964-09-30,-0.23854974616532598,0.17352583293579446,0.00515169513709768
1964-10-31,-0.24171729663578356,0.16951838553088602,0.007600098372332463
1964-11-30,-0.24668899903132635,0.1658305342069412,0.011123968293087797
1964-12-31,-0.2493391441355571,0.16626230267438583,0.0046264919539979535
1965-01-31,-0.2183369671406503,0.16375225394292875,0.02921193740620574
1965-02-28,-0.22186473074707314,0.16204850847450128,0.020183655611525953
1965-03-31,-0.2263309588235014,0.1629884448543221,0.02243051615203646
1965-04-30,-0.23191383151688097,0.1624448420584937,0.02220528487809209
1965-05-31,-0.2260494904481302,0.1563908073234642,0.026058486767141727
1965-06-30,-0.22472013568004137,0.15160112165693967,0.027130415469862904
1965-07-31,-0.22747544348914728,0.1500982108848202,0.027663078875175884
1965-08-31,-0.22795296281121166,0.15132018403917782,0.02780650968539689
1965-09-30,-0.23186727439814542,0.15077835466180606,0.028562027074894955
1965-10-31,-0.2363045184808858,0.1503437600630019,0.030580699918978247
1965-11-30,-0.24264489365241215,0.14970182923783626,0.02490578606273645
1965-12-31,-0.24675041293757305,0.14858810079967247,0.023378570412558412
1966-01-31,-0.2185288305110998,0.1629574341317936,0.029773523426298205
1966-02-28,-0.22553839702845807,0.16252395815901124,0.02654985931783023
1966-03-31,-0.231889702225898,0.16256903996412053,0.020222615305559844
1966-04-30,-0.23655901398227985,0.15961935846855188,0.020788494372363697
1966-05-31,-0.24171624992300986,0.1572927150095271,0.022564859011278412
1966-06-30,-0.2228759424836515,0.14792153306869205,0.04027696195358635
1966-07-31,-0.22893551152199962,0.14694812756626857,0.03402308669848386
1966-08-31,-0.23289812815511768,0.14504652924752573,0.03427793432039188
